date,open,high,low,close,chg,chgPct,volume,value 
2015/3/30,3992.60 ,4146.80 ,3991.80 ,4140.60 ,155.00 ,3.89 ,1275334.00 ,1552800153600.00 
2015/3/31,4175.00 ,4199.00 ,4001.00 ,4035.80 ,(104.80),(2.53),1596233.00 ,1975277715456.00 
2015/4/1,4043.00 ,4172.00 ,4042.00 ,4122.80 ,87.00 ,2.16 ,1561038.00 ,1927865696256.00 
2015/4/2,4153.80 ,4175.00 ,4051.40 ,4106.20 ,(16.60),(0.40),1532615.00 ,1893044256768.00 
2015/4/3,4099.60 ,4214.80 ,4082.00 ,4206.00 ,99.80 ,2.43 ,1613984.00 ,2005005828096.00 
2015/4/7,4236.00 ,4255.20 ,4181.80 ,4239.80 ,33.80 ,0.80 ,1236705.00 ,1563824881664.00 
2015/4/8,4245.20 ,4286.80 ,4193.00 ,4247.60 ,7.80 ,0.18 ,1529251.00 ,1946365722624.00 
2015/4/9,4250.00 ,4279.00 ,4181.00 ,4226.20 ,(21.40),(0.50),1586649.00 ,2012713385984.00 
2015/4/10,4230.20 ,4382.60 ,4216.00 ,4377.00 ,150.80 ,3.57 ,1466382.00 ,1886573035520.00 
2015/4/13,4399.80 ,4443.60 ,4361.20 ,4421.00 ,44.00 ,1.01 ,1229737.00 ,1620428849152.00 
2015/4/14,4414.20 ,4479.60 ,4377.60 ,4416.60 ,(4.40),(0.10),1406142.00 ,1865557999616.00 
2015/4/15,4421.60 ,4469.20 ,4368.00 ,4382.40 ,(34.20),(0.77),1427566.00 ,1894457999360.00 
2015/4/16,4389.60 ,4540.20 ,4371.40 ,4521.20 ,138.80 ,3.17 ,778193.00 ,1040858468352.00 
2015/4/17,4524.00 ,4615.60 ,4515.40 ,4599.20 ,78.00 ,1.73 ,149826.00 ,205693865984.00 
2015/4/20,4588.40 ,4683.00 ,4487.40 ,4516.40 ,(82.80),(1.80),1628754.00 ,2244337336320.00 
2015/4/21,4550.00 ,4630.60 ,4528.00 ,4618.80 ,102.40 ,2.27 ,1428010.00 ,1961406955520.00 
2015/4/22,4631.00 ,4764.00 ,4631.00 ,4761.00 ,142.20 ,3.08 ,1260977.00 ,1779498156032.00 
2015/4/23,4762.40 ,4787.80 ,4691.20 ,4716.00 ,(45.00),(0.95),1447784.00 ,2060782534656.00 
2015/4/24,4692.20 ,4733.00 ,4612.00 ,4722.00 ,6.00 ,0.13 ,1411169.00 ,1982709432320.00 
2015/4/27,4742.00 ,4824.60 ,4737.00 ,4804.00 ,82.00 ,1.74 ,1326364.00 ,1904619290624.00 
2015/4/28,4791.20 ,4811.00 ,4660.00 ,4721.00 ,(83.00),(1.73),1438546.00 ,2048495648768.00 
2015/4/29,4701.80 ,4806.20 ,4700.40 ,4771.00 ,50.00 ,1.06 ,1203575.00 ,1717807284224.00 
2015/4/30,4777.80 ,4826.80 ,4733.60 ,4767.80 ,(3.20),(0.07),1208777.00 ,1736326709248.00 
2015/5/4,4790.00 ,4806.20 ,4712.80 ,4757.60 ,(10.20),(0.21),1014409.00 ,1448244019200.00 
2015/5/5,4768.60 ,4771.60 ,4566.00 ,4618.00 ,(139.60),(2.93),1259363.00 ,1763650568192.00 
2015/5/6,4628.00 ,4712.00 ,4532.00 ,4582.00 ,(36.00),(0.78),1465118.00 ,2037483110400.00 
2015/5/7,4575.00 ,4589.40 ,4495.60 ,4503.20 ,(78.80),(1.72),1413924.00 ,1925832048640.00 
2015/5/8,4525.00 ,4573.00 ,4451.20 ,4541.40 ,38.20 ,0.85 ,1452579.00 ,1970386042880.00 
2015/5/11,4567.00 ,4672.80 ,4530.40 ,4658.00 ,116.60 ,2.57 ,1262672.00 ,1742930640896.00 
